Customer ID,Recency,Frequency,Monetary,Cluster,Segment
AA-10315,185,5,5563.56,3,VIP
AA-10375,20,9,1056.39,0,Loyal
AA-10480,260,4,1790.5120000000002,2,Lost
AA-10645,56,6,5086.9349999999995,3,VIP
AB-10015,416,3,886.156,2,Lost
AB-10060,55,8,7553.446,3,VIP
AB-10105,42,10,7553.446,3,VIP
AB-10150,42,5,966.71,1,Potential
AB-10165,26,8,1113.838,0,Loyal
AB-10255,167,9,914.5319999999999,0,Loyal
AB-10600,51,4,1515.862,1,Potential
AC-10420,233,3,925.8,2,Lost
AC-10450,12,7,5527.846,3,VIP
AC-10615,7,5,2537.6859999999997,1,Potential
AC-10660,283,5,657.316,2,Lost
AD-10180,30,8,6106.88,3,VIP
AF-10870,42,7,2052.908,0,Loyal
AF-10885,416,4,861.565,2,Lost
AG-10270,279,5,2582.898,2,Lost
AG-10300,119,4,367.548,1,Potential
AG-10330,9,5,660.972,1,Potential
AG-10390,115,5,200.945,1,Potential
AG-10495,79,7,1419.247,1,Potential
AG-10525,416,4,1455.038,2,Lost
AG-10675,98,7,3489.0396000000005,0,Loyal
AG-10765,78,4,170.584,1,Potential
AG-10900,97,10,4510.797,0,Loyal
AH-10030,13,7,1744.7,0,Loyal
AH-10075,35,10,3250.337,0,Loyal
AH-10120,61,7,1735.5140000000001,0,Loyal
AH-10195,56,4,1587.452,1,Potential
AH-10210,7,9,4805.344,0,Loyal
AH-10465,231,5,2495.3916,2,Lost
AH-10585,22,4,738.504,1,Potential
AH-10690,411,12,7553.446,3,VIP
AI-10855,14,10,4375.786,0,Loyal
AJ-10780,76,7,4867.344,3,VIP
AJ-10795,167,7,4501.391,3,VIP
AJ-10945,122,6,1829.896,1,Potential
AJ-10960,75,3,629.2479999999999,1,Potential
AM-10360,29,5,814.012,1,Potential
AM-10705,163,8,5664.022,3,VIP
AO-10810,416,1,161.28,2,Lost
AP-10720,42,6,545.932,1,Potential
AP-10915,99,10,3323.556,0,Loyal
AR-10345,112,4,1055.694,1,Potential
AR-10405,126,5,2236.128,1,Potential
AR-10510,15,5,264.86400000000003,1,Potential
